,CUST_ID,SEX,AGE,DEPARTEMENT
0,108938,M,50-65,59
1,110899,M,35-49,59
2,114666,M,35-49,59
3,118478,M,50-65,59
4,123777,M,50-65,59
5,127790,M,50-65,59
6,133892,M,50-65,59
7,156634,M,35-49,62
8,187833,M,50-65,59
9,235297,M,50-65,59
10,244827,M,35-49,59
11,263913,M,50-65,78
12,270220,M,50-65,59
13,292347,M,35-49,59
14,294115,M,35-49,78
15,314647,M,<35,59
16,368080,M,50-65,59
17,403445,M,<35,59
18,421137,M,35-49,59
19,425954,M,35-49,59
20,427096,M,35-49,59
21,427250,M,35-49,59
22,428202,M,50-65,78
23,460228,M,35-49,62
24,464331,M,50-65,59
25,468837,M,35-49,78
26,471775,M,50-65,78
27,483533,M,35-49,59
28,519469,M,>65,78
29,519885,M,35-49,78
30,552846,M,<35,62
31,555714,M,35-49,78
32,584447,M,50-65,78
33,602580,M,<35,59
34,607784,M,35-49,59
35,612824,M,<35,59
36,616689,M,35-49,59
37,619437,M,35-49,78
38,715341,M,50-65,78
39,719763,M,35-49,78
40,735292,M,<35,78
41,739860,M,<35,59
42,751640,M,35-49,59
43,752568,M,50-65,78
44,754685,M,35-49,78
45,761107,M,<35,78
46,849812,M,35-49,78
47,903640,M,<35,59
48,911614,M,35-49,78
49,957469,M,35-49,59
50,963615,M,50-65,78
51,979705,M,<35,59
52,988692,M,35-49,59
53,998545,M,35-49,59
54,1007975,M,35-49,78
55,1014685,M,<35,78
56,1061637,M,<35,59
57,1071032,F,35-49,59
58,1082751,M,35-49,78
59,1095891,M,35-49,59
60,1163691,M,35-49,59
61,1167207,M,35-49,59
62,1168767,M,35-49,59
63,1171591,M,50-65,59
64,1198352,M,35-49,59
65,1205586,M,<35,62
